#kalip	kategori	siddet	ipucu
# Çeviri kokusu: İngilizceden düşünülüp Türkçe yazılmış cümlenin izleri. tr_lower uygulanmış metne uygulanır.
# kategori: edilgen (tarafından/edilgen), bir (belirsiz tanımlık kopyası), sahip (have kopyası), zarf (adverbial calque), hafif_fiil (light verb), zamir (açık özne), sira (İngilizce sözdizimi/ki cümlesi), soyut (adlaştırma), sozcuk (sözcük düzeyi kopya), abarti (İngilizce ölçek sözleri)
\btarafından\b	edilgen	2	Özneyi başa al, fiili etken yap: "Rapor bakanlıkça hazırlandı" → "Bakanlık raporu hazırladı". Aktör önemsizse "tarafından"sız edilgen: "Rapor hazırlandı".
\b\w+(ıl|il|ul|ül)(mış|miş|muş|müş)t[ıi]r\b	edilgen	1	Edilgen + -mıştır: ansiklopedi çevirisi. Kim yaptı? Etken ve -dı.
\b\w+(ıl|il|ul|ül)(makta|mekte)d[ıi]r\b	edilgen	1	Edilgen + -maktadır: "yapılmaktadır" → "yapılıyor" ya da etken.
\b\w+[ae] sahip(tir|ti|ler|)?\b	sahip	2	"-e sahip": İngilizce "have". "Var", "-lı", "-ı olan": "yüksek hıza sahip" → "hızlı".
\bsahip ol(an|makta|duğu|mak|up|ması|unuz|duk)\w*	sahip	2	"-ı var", "-lı", "-ı olan".
\bbir şekilde\b	zarf	3	"-ce", "-erek" ya da doğrudan zarf: "etkili bir şekilde" → "etkili biçimde / iyi / işe yarar biçimde"; çoğu zaman zarfı da sil.
\b\w+ (bir )?biçimde\b	zarf	1	"X biçimde" yerine tek zarf ya da fiili değiştir.
\bgerçekleştir\w*	hafif_fiil	2	"yaptı", "oldu", "düzenledi": "toplantı gerçekleştirildi" → "toplantı yapıldı / toplandılar".
\bgerçekleş(ti|miş|mekte|ecek|en)\w*	hafif_fiil	1	"oldu", "yapıldı".
\b(olanak|imkan) (sağla|tanı)\w*	hafif_fiil	2	"-ebiliyor", "-e izin veriyor", "-i mümkün kılıyor" da çeviri; "sayesinde -ebiliyoruz".
\bsağla(n|ndı|mak|yan|r|dı|maktadır|mıştır|yarak)\w*	hafif_fiil	1	Hafif fiil. "X'in artmasını sağladı" → "X'i artırdı".
\byer al(maktadır|ır|dı|an|ıyor|mış)\w*	hafif_fiil	2	"var", "-de", "arasında".
\bsöz konusu\b	sozcuk	2	"bu", "adı geçen" ya da doğrudan ad. "söz konusu olduğunda" → "-e gelince".
\bmümkün kıl\w*	hafif_fiil	2	"-ebilmesini sağlar" da çeviri; "-le X yapılabiliyor", "-den sonra X kolaylaştı".
\b(demek|söylemek|ifade etmek) mümkün(dür)?\b	sira	2	"denebilir", "diyebiliriz" ya da doğrudan söyle.
\b(göstermektedir|gösteriyor|belirtmektedir|ifade etmektedir|ortaya koymaktadır|düşünmektedir|inanmaktadır|savunmaktadır|söylemektedir) ki\b	sira	3	"ki" yan cümlesi İngilizce "that": yan cümleyi öne al, fiili sona: "Araştırma gösteriyor ki X" → "Araştırmaya göre X" / "Araştırma X'i gösteriyor".
\b(araştırmalar|çalışmalar|veriler|uzmanlar) (gösteriyor|göstermektedir|söylüyor|belirtiyor)\b	sira	2	Hangi araştırma? Ad, yıl, sayı. Yoksa cümleyi sil.
\byapılan (araştırma|çalışma|analiz)\w*	sozcuk	1	"yapılan" gereksiz: "araştırmalar".
\bönem arz et\w*	hafif_fiil	3	"önemli" bile fazla; sonucu yaz.
\bteşkil et\w*	hafif_fiil	2	"oluşturur", "-dir".
\bhale gel\w*	hafif_fiil	1	"-laştı", "oldu": "yaygın hale geldi" → "yaygınlaştı".
\bhale getir\w*	hafif_fiil	1	"-laştırdı", "yaptı".
\bihtiyaç duy\w*	hafif_fiil	1	"gerek", "lazım", "-e muhtaç".
\bihtiyacı var(dır)?\b	hafif_fiil	1	Çoğu zaman "-meli", "gerek".
\bgerekmektedir\b	sira	1	"gerekir", "gerek", "-meli".
\bmümkündür\b	sira	1	"-ebilir".
\bolarak (bilin|adlandırıl|tanımlan|kabul edil|görül|değerlendiril|nitelendiril)\w*	sozcuk	2	"known as / regarded as" kopyası: "X olarak bilinir" → "X denir", "adı X".
\b\w+ (ile|ile birlikte)\b	sozcuk	1	"-le" eki; "birlikte" çoğu zaman gereksiz.
\bile birlikte\b	sozcuk	2	"along with": "-le", "ve", "-in yanında".
