#kalip	kategori	siddet	ipucu
# Düzenli ifadeler tr_lower uygulanmış metne uygulanır. siddet: 1 hafif, 2 belirgin, 3 ağır.
# kategori: gecis (boş bağlaç/geçiş), klise (aşınmış söz), abarti (kof yükseltme), sohbet (chatbot tonu), yapi (iskelet cümlesi), resmiyet (gereksiz resmî ek)
\bbu bağlamda\b	gecis	2	Sil; cümle bağlaçsız da başlar. Bağlam gerçekten gerekliyse neyin bağlamı olduğunu yaz.
\bbu doğrultuda\b	gecis	2	Sil ya da somut neden yaz: "bunun için", "o yüzden".
\bbu noktada\b	gecis	1	Sil; hangi nokta? Gerekirse "burada" ya da somut an.
\bbu çerçevede\b	gecis	2	Sil; "çerçeve" boş sözcük.
\bsonuç olarak\b	gecis	2	Sonuç cümlesini yaz, etiketini yazma. Genelde paragrafın tamamı gereksizdir.
\bözetle(mek gerekirse|yecek olursak)?\b	gecis	2	Özeti sil; okur zaten okudu.
\bnetice itibar[ıi]yla\b	gecis	2	Sil.
\bkısacası\b	gecis	1	Kısaysa doğrudan söyle.
\bgenel olarak\b	gecis	1	Genellemeyi somutla ya da sil.
\b(ilk|birinci|ikinci|üçüncü|son) olarak\b	gecis	2	Numaralı liste düzyazıya sızmış. Sıra gerekliyse liste yap, değilse akışla bağla.
\bbunun yanı sıra\b	gecis	1	"Bir de", "ayrıca" ya da hiç.
\bdaha da önemlisi\b	gecis	2	Önemliyse başa al, etiketleme.
\bunutulmamalı(dır)?( ki)?\b	gecis	3	Kim unutmasın? Aktörsüz uyarı. Doğrudan söyle.
\b(şunu )?belirtmek gerekir ki\b	gecis	3	Sil, "ki" yan cümlesini Türkçe sıraya koy.
\bşunu da (belirtmek|eklemek|söylemek)\b	gecis	2	Sil.
\bgöz önün(de|e) (bulundur|al)\w*	gecis	2	"düşünürsek", "hesaba katınca" ya da doğrudan koşul.
\bbir başka deyişle\b|\bdiğer bir deyişle\b	gecis	2	İkinci anlatım gereksizdir; birini seç.
\bşu bir gerçek ki\b	gecis	3	Sil.
\bbu (yazıda|makalede|yazımızda|içerikte|videoda|bölümde)\b	yapi	3	Yol gösterme cümlesi. Konuya gir.
\b(ele alacağız|inceleyeceğiz|değineceğiz|göz atalım|göz atacağız|yakından bakalım|bir bakalım|birlikte bakalım)\b	yapi	2	Ne yapacağını söyleme, yap.
\bumar(ım|ız) .{0,40}(faydalı|yardımcı) ol	sohbet	3	Chatbot kapanışı. Sil.
\b(düşünceleriniz|yorumlarınız)(ı|ı da)? (merak|bekliyor|paylaş)	sohbet	2	Etkileşim yemi. Tür reel ise tek bir somut soru olabilir; makalede sil.
\byorumlarda (belirt|paylaş|yaz)	sohbet	2	Sil.
\bsizlere\b	sohbet	2	"size" ya da hiç.
\bsizler(in|i|e)?\b	sohbet	2	"siz".
\bhaydi\b|\bhadi (başlayalım|bakalım)\b	sohbet	2	Sil.
\bharika\b	sohbet	2	Neyin harika olduğunu göster, sıfatı at.
\bheyecan verici\b	abarti	3	Heyecanı okur hissetsin; sıfatla ilan etme.
\bmuhteşem\b|\bolağanüstü\b	abarti	2	Somut ölçüye çevir.
\bönemli bir rol oyna\w*	klise	3	Ne yaptığını yaz: "X, Y'yi belirler / yavaşlatır / başlatır".
\b(kritik|kilit|hayati|büyük) (bir )?(rol|önem|nokta|faktör|unsur)\w*	klise	2	Neden önemli? Sonucu yaz, sıfatı at.
\bönem taşı\w*	klise	2	"önemli" bile fazla; etkisini yaz.
\bvazgeçilmez\b	klise	2	Neyin, kimin için? Somutla.
\bdönüşüm yolculuğu\b	klise	3	Sil; ne değişti, yaz.
